"competenciamov";"saldomovimentacao";"pais";"continente";"uf";"municipio";"cbo2002ocupacao";"subclasse";"secao";"categoria";"sexo";"nivel_instrucao";"salario";"faixa_etaria";"racacor";"faixa_horas_contrat";"indtrabparcial";"indtrabintermitente";"tipomovimentacao";"unidadesalariocodigo";"valorsalariofixo";"status_migratorio"
"202112";"-1";"VENEZUELA";"AMÉRICA DO SUL";"42";"421290";"514320";"4221902";"F";"101";"3";"01";"1239.93";"02";"1";"06";"0";"0";"43";"";"";"Sem informação"
"202112";"1";"HAITI";"AMÉRICA CENTRAL E CARIBE";"43";"430440";"513205";"8230001";"N";"106";"3";"04";"3510";"03";"6";"06";"0";"0";"97";"";"";"Permanente"
"202112";"1";"COLÔMBIA";"AMÉRICA DO SUL";"43";"431490";"717020";"5223100";"H";"101";"1";"02";"1441";"06";"1";"05";"0";"0";"97";"";"";"Sem informação"
"202112";"-1";"HAITI";"AMÉRICA CENTRAL E CARIBE";"43";"431720";"784205";"1012103";"C";"101";"1";"01";"1634.01";"04";"1";"06";"0";"0";"31";"";"";"Sem informação"
"202112";"-1";"VENEZUELA";"AMÉRICA DO SUL";"50";"500270";"513505";"5611201";"I";"101";"3";"04";"1218";"06";"1";"06";"0";"0";"40";"";"";"Temporário"
"202112";"1";"VENEZUELA";"AMÉRICA DO SUL";"50";"500370";"717020";"4213800";"F";"101";"1";"02";"1300";"04";"6";"06";"0";"0";"97";"";"";"Refugiado/solicitante de refúgio"
"202112";"-1";"HAITI";"AMÉRICA CENTRAL E CARIBE";"52";"520110";"411010";"4120400";"F";"101";"3";"06";"1118.31";"04";"2";"06";"0";"0";"31";"";"";"Sem informação"
"202112";"1";"HAITI";"AMÉRICA CENTRAL E CARIBE";"52";"520870";"782220";"4930202";"H";"101";"1";"04";"1366.94";"04";"1";"07";"0";"0";"97";"";"";"Permanente"
"202112";"-1";"SÍRIA";"ÁSIA";"53";"530010";"411010";"9430800";"S";"101";"1";"05";"1808.87";"03";"3";"05";"0";"0";"31";"";"";"Permanente"
"202201";"-1";"ARGENTINA";"AMÉRICA DO SUL";"15";"150140";"123115";"6462000";"K";"101";"1";"06";"62202";"06";"3";"06";"0";"0";"31";"";"";"Sem informação"
"202201";"-1";"VENEZUELA";"AMÉRICA DO SUL";"15";"150360";"514320";"724301";"B";"101";"1";"04";"1100";"02";"6";"06";"0";"0";"31";"5";"1100";"Refugiado/solicitante de refúgio"
"202201";"-1";"ITÁLIA";"EUROPA";"27";"270430";"141110";"1821100";"C";"101";"3";"04";"1212";"07";"1";"06";"0";"0";"31";"";"";"Sem informação"
"202201";"-1";"REPÚBLICA DOMINICANA";"AMÉRICA CENTRAL E CARIBE";"31";"317010";"513505";"5611201";"I";"101";"3";"04";"1320";"03";"2";"06";"0";"0";"40";"";"";"Sem informação"
"202201";"1";"VENEZUELA";"AMÉRICA DO SUL";"35";"350850";"514320";"4292801";"F";"101";"3";"04";"1668.89";"06";"1";"06";"0";"0";"97";"";"";"Sem informação"
"202201";"-1";"ESTADOS UNIDOS";"AMÉRICA DO NORTE";"41";"412220";"725010";"2829199";"C";"101";"1";"05";"2257.2";"03";"1";"06";"0";"0";"40";"1";"10.26";"Sem informação"
"202201";"-1";"ARGENTINA";"AMÉRICA DO SUL";"42";"999999";"513405";"5611201";"I";"101";"3";"04";"1581.9";"03";"1";"06";"0";"0";"40";"";"";"Permanente"
"202201";"-1";"NATURALIDADE BRASILEIRA";"NATURALIDADE BRASILEIRA";"33";"999999";"513205";"5611201";"I";"101";"1";"04";"2101.2";"06";"1";"06";"0";"0";"43";"";"";"Permanente"
"202201";"-1";"COLÔMBIA";"AMÉRICA DO SUL";"52";"999999";"513405";"8211300";"N";"101";"1";"04";"1189";"04";"1";"06";"0";"0";"31";"";"";"Permanente"
"202201";"1";"ESTADOS UNIDOS";"AMÉRICA DO NORTE";"33";"999999";"377105";"9312300";"R";"105";"1";"02";"48000";"04";"1";"01";"9";"0";"97";"";"";"Sem informação"
"202201";"-1";"HAITI";"AMÉRICA CENTRAL E CARIBE";"51";"999999";"514320";"8112500";"N";"101";"3";"04";"1242";"04";"6";"06";"0";"0";"31";"";"";"Permanente"
"202201";"-1";"HAITI";"AMÉRICA CENTRAL E CARIBE";"42";"999999";"712205";"4744099";"G";"101";"1";"04";"1727";"05";"6";"06";"0";"0";"31";"";"";"Permanente"
"202201";"1";"HAITI";"AMÉRICA CENTRAL E CARIBE";"43";"999999";"521125";"4711302";"G";"101";"1";"02";"1523.65";"02";"6";"06";"0";"0";"97";"";"";"Permanente"
"202201";"1";"VENEZUELA";"AMÉRICA DO SUL";"14";"999999";"782515";"4313400";"F";"101";"1";"04";"1907";"05";"6";"06";"0";"0";"97";"";"";"Sem informação"
"202201";"1";"BOLÍVIA";"AMÉRICA DO SUL";"35";"999999";"763210";"1412602";"C";"101";"1";"04";"1776";"04";"3";"06";"0";"0";"97";"";"";"Sem informação"
"202201";"1";"VENEZUELA";"AMÉRICA DO SUL";"51";"999999";"521110";"5611203";"I";"101";"3";"04";"2000";"04";"6";"06";"0";"0";"97";"";"";"Sem informação"
"202201";"-1";"VENEZUELA";"AMÉRICA DO SUL";"42";"999999";"514320";"4744099";"G";"101";"1";"04";"1470";"02";"1";"06";"0";"0";"31";"";"";"Sem informação"
"202201";"-1";"VENEZUELA";"AMÉRICA DO SUL";"11";"999999";"513610";"5620104";"I";"101";"3";"04";"1277.58";"02";"6";"06";"0";"0";"32";"";"";"Sem informação"
"202201";"-1";"VENEZUELA";"AMÉRICA DO SUL";"13";"999999";"811820";"2541100";"C";"101";"3";"04";"2119.78";"03";"6";"06";"0";"0";"31";"";"";"Refugiado/solicitante de refúgio"
"202201";"1";"ESPANHA";"EUROPA";"35";"999999";"141305";"4299599";"F";"101";"1";"06";"25715";"05";"1";"06";"0";"0";"97";"";"";"Sem informação"
"202201";"1";"HAITI";"AMÉRICA CENTRAL E CARIBE";"35";"999999";"513205";"8593700";"P";"101";"3";"04";"1500";"05";"2";"05";"0";"0";"97";"";"";"Sem informação"
"202201";"-1";"HAITI";"AMÉRICA CENTRAL E CARIBE";"51";"999999";"715545";"2532201";"C";"101";"1";"04";"1356.76";"02";"3";"06";"0";"0";"31";"";"";"Refugiado/solicitante de refúgio"
"202201";"-1";"VENEZUELA";"AMÉRICA DO SUL";"42";"999999";"717020";"4120400";"F";"101";"1";"04";"1800";"03";"6";"06";"0";"0";"40";"";"";"Temporário"
"202201";"1";"VENEZUELA";"AMÉRICA DO SUL";"14";"999999";"782305";"4313400";"F";"101";"1";"01";"2000";"06";"6";"06";"0";"0";"97";"";"";"Refugiado/solicitante de refúgio"
"202201";"1";"VENEZUELA";"AMÉRICA DO SUL";"41";"999999";"717020";"4744005";"G";"101";"1";"04";"1577.4";"05";"6";"06";"0";"0";"97";"";"";"Sem informação"
"202201";"-1";"NATURALIDADE BRASILEIRA";"NATURALIDADE BRASILEIRA";"51";"999999";"717020";"4120400";"F";"101";"1";"03";"1212";"02";"3";"06";"0";"0";"31";"";"";"Temporário"
"202201";"-1";"NATURALIDADE BRASILEIRA";"NATURALIDADE BRASILEIRA";"31";"999999";"517410";"8299799";"N";"101";"1";"04";"1452.02";"05";"3";"06";"0";"0";"31";"";"";"Sem informação"
"202201";"-1";"VENEZUELA";"AMÉRICA DO SUL";"14";"999999";"514320";"4771701";"G";"101";"1";"04";"1212";"05";"6";"06";"0";"0";"31";"5";"1212";"Permanente"
"202201";"-1";"VENEZUELA";"AMÉRICA DO SUL";"14";"999999";"717020";"4120400";"F";"101";"1";"04";"1212";"04";"6";"06";"0";"0";"31";"5";"1212";"Refugiado/solicitante de refúgio"
"202201";"-1";"VENEZUELA";"AMÉRICA DO SUL";"13";"999999";"411005";"8712300";"Q";"101";"3";"04";"1045";"04";"3";"06";"0";"0";"31";"5";"1045";"Refugiado/solicitante de refúgio"
"202201";"-1";"NATURALIDADE BRASILEIRA";"NATURALIDADE BRASILEIRA";"15";"999999";"725705";"4322302";"F";"101";"1";"05";"1400";"05";"3";"06";"0";"0";"31";"5";"1400";"Sem informação"
"202202";"-1";"ESPANHA";"EUROPA";"31";"310620";"212215";"6201501";"J";"101";"1";"06";"19600.88";"05";"6";"06";"0";"0";"40";"";"";"Temporário"
"202202";"1";"ARÁBIA SAUDITA";"ÁSIA";"31";"312230";"513505";"1096100";"C";"101";"1";"04";"1200";"06";"6";"06";"0";"0";"97";"";"";"Sem informação"
"202202";"1";"NATURALIDADE BRASILEIRA";"NATURALIDADE BRASILEIRA";"35";"352710";"715110";"4211101";"F";"101";"1";"02";"1918.4";"04";"2";"06";"0";"0";"97";"";"";"Permanente"
"202202";"1";"LÍBANO";"ÁSIA";"35";"352840";"354125";"4672900";"G";"101";"1";"04";"1295.5";"05";"1";"06";"0";"0";"97";"";"";"Sem informação"
"202202";"1";"NATURALIDADE BRASILEIRA";"NATURALIDADE BRASILEIRA";"35";"355280";"724110";"4120400";"F";"101";"1";"04";"2010.65";"04";"6";"06";"0";"0";"97";"";"";"Sem informação"
"202202";"-1";"ARÁBIA SAUDITA";"ÁSIA";"52";"520870";"322205";"8660700";"Q";"101";"3";"04";"2200";"05";"6";"06";"0";"0";"43";"5";"2200";"Sem informação"
"202202";"1";"HOLANDA";"EUROPA";"35";"999999";"422110";"8630504";"Q";"101";"3";"06";"2500";"04";"1";"06";"0";"0";"97";"";"";"Sem informação"
"202202";"-1";"HAITI";"AMÉRICA CENTRAL E CARIBE";"41";"999999";"414140";"4530704";"G";"101";"1";"03";"2197.52";"03";"6";"06";"0";"0";"31";"";"";"Sem informação"
"202202";"1";"HAITI";"AMÉRICA CENTRAL E CARIBE";"35";"999999";"783210";"4693100";"G";"101";"1";"04";"1669.7";"03";"6";"06";"0";"0";"97";"";"";"Refugiado/solicitante de refúgio"
"202202";"1";"VENEZUELA";"AMÉRICA DO SUL";"50";"999999";"717020";"4222701";"F";"101";"1";"04";"1315.6";"03";"6";"06";"0";"0";"97";"";"";"Sem informação"
"202202";"-1";"NATURALIDADE BRASILEIRA";"NATURALIDADE BRASILEIRA";"41";"999999";"142105";"6462000";"K";"101";"1";"06";"14106.84";"04";"1";"05";"0";"0";"40";"";"";"Sem informação"
"202202";"-1";"NATURALIDADE BRASILEIRA";"NATURALIDADE BRASILEIRA";"35";"999999";"521125";"7830200";"N";"101";"1";"04";"1387.33";"03";"1";"06";"0";"0";"32";"";"";"Sem informação"
"202202";"-1";"VENEZUELA";"AMÉRICA DO SUL";"51";"999999";"724410";"4292801";"F";"101";"1";"04";"3000";"06";"6";"06";"0";"0";"43";"";"";"Sem informação"
"202202";"1";"VENEZUELA";"AMÉRICA DO SUL";"43";"999999";"717020";"4399103";"F";"101";"1";"02";"1441";"02";"1";"06";"0";"0";"97";"";"";"Refugiado/solicitante de refúgio"
"202202";"1";"ARGENTINA";"AMÉRICA DO SUL";"43";"999999";"622020";"121101";"A";"101";"1";"02";"1306";"02";"3";"06";"0";"0";"97";"";"";"Sem informação"
"202202";"1";"ARGENTINA";"AMÉRICA DO SUL";"43";"999999";"622020";"121101";"A";"101";"1";"02";"1306";"03";"3";"06";"0";"0";"97";"";"";"Sem informação"
"202202";"1";"NATURALIDADE BRASILEIRA";"NATURALIDADE BRASILEIRA";"52";"999999";"732120";"3811400";"E";"101";"1";"04";"1939.44";"04";"6";"06";"0";"0";"97";"";"";"Permanente"
"202202";"1";"HAITI";"AMÉRICA CENTRAL E CARIBE";"42";"999999";"142335";"7911200";"N";"101";"1";"04";"1931.6";"04";"6";"06";"0";"0";"97";"";"";"Permanente"
"202202";"1";"ARGENTINA";"AMÉRICA DO SUL";"43";"999999";"622020";"121101";"A";"102";"1";"01";"1306";"02";"1";"06";"0";"0";"97";"";"";"Sem informação"
"202202";"1";"ARGENTINA";"AMÉRICA DO SUL";"43";"999999";"622020";"121101";"A";"102";"1";"02";"1306";"06";"1";"06";"0";"0";"97";"";"";"Sem informação"
