Competência,País,UF,Município,Categoria,Sexo,Nível de Instrução,Salário,Faixa Etária,Carga Horária do Contrato,Status Migratório
202110,CHINA,35,355030,101,3,4,"6000,00",4,6,Sem Informação
202110,LÍBANO,35,355030,101,1,4,"6032,00",7,6,Sem Informação
202110,HAITI,35,355030,101,3,2,"1669,80",4,6,Sem Informação
202110,VENEZUELA,41,410690,101,3,4,"1270,00",3,6,Temporário
202110,VENEZUELA,41,410840,101,1,4,"1572,00",6,6,Temporário
202110,ARÁBIA SAUDITA,41,412330,101,3,4,"1561,47",5,6,Sem Informação
202110,HAITI,42,420665,101,1,1,"1761,33",3,6,Permanente
202110,VENEZUELA,42,421050,101,1,1,"1480,30",2,6,Sem Informação
202110,VENEZUELA,42,421190,111,3,2,"2250,00",5,5,Sem Informação
202110,HAITI,43,430310,101,1,2,"1299,81",2,6,Sem Informação
202110,AFEGANISTÃO,99,999999,101,1,4,"1100,00",6,6,Sem Informação
202111,HAITI,13,130260,101,3,4,"1212,00",5,6,Refugiado/Solicitante de Refúgio
202111,HAITI,13,130260,101,1,4,"1276,63",4,6,Permanente
202111,VENEZUELA,14,140010,101,1,3,"1195,45",2,6,Sem Informação
202111,VENEZUELA,14,140010,101,1,3,"1195,45",2,6,Sem Informação
202111,VENEZUELA,14,140010,101,1,4,"1100,00",3,6,Sem Informação
202111,VENEZUELA,14,140010,101,1,4,"1100,00",4,5,Temporário
202111,VENEZUELA,33,330455,101,1,4,"90,00",5,1,Refugiado/Solicitante de Refúgio
202111,HAITI,35,355030,101,1,4,"1980,00",4,6,Permanente
202111,CUBA,41,410640,101,3,4,"1184,93",6,6,Refugiado/Solicitante de Refúgio
202111,PARAGUAI,41,410830,101,1,3,"2092,20",3,6,Sem Informação
202111,VENEZUELA,42,420120,101,1,5,"2148,00",4,6,Permanente
202111,VENEZUELA,42,420440,101,1,1,"1800,00",4,6,Sem Informação
202111,VENEZUELA,42,420440,101,1,4,"1800,00",2,6,Refugiado/Solicitante de Refúgio
202111,HAITI,42,420910,101,1,4,"1397,00",3,6,Sem Informação
202111,VENEZUELA,43,430460,101,1,2,"1462,00",2,6,Temporário
202111,NATURALIDADE BRASILEIRA,43,431490,106,3,4,"1700,00",4,6,Sem Informação
202111,NATURALIDADE BRASILEIRA,43,431710,101,3,4,"1449,00",3,6,Fronteiriço
202111,LÍBANO,52,520870,101,1,4,"1100,00",4,1,Sem Informação
202112,VENEZUELA,11,110020,101,1,1,"1696,00",5,6,Refugiado/Solicitante de Refúgio
202112,NATURALIDADE BRASILEIRA,13,130260,101,1,4,"1100,00",2,6,Sem Informação
202112,PERU,13,130260,101,1,4,"1700,00",5,6,Permanente
202112,VENEZUELA,14,140010,101,1,4,"1195,45",4,6,Temporário
202112,VENEZUELA,14,140010,101,1,3,"1195,45",3,6,Sem Informação
202112,VENEZUELA,14,140010,101,1,4,"2017,22",5,6,Sem Informação
202112,NATURALIDADE BRASILEIRA,24,240260,101,1,4,"1500,00",2,6,Sem Informação
202112,VENEZUELA,26,260410,101,1,4,"1850,00",6,6,Sem Informação
202112,ARGENTINA,29,291360,111,3,6,"1900,02",4,6,Permanente
202112,VENEZUELA,31,310620,101,3,4,"1300,00",3,6,Refugiado/Solicitante de Refúgio
202112,VENEZUELA,32,320500,101,1,4,"1215,00",4,6,Sem Informação
202112,NORUEGA,33,330455,101,1,6,"15759,07",6,6,Temporário
202112,BOLÍVIA,35,355030,101,3,5,"2500,00",3,5,Permanente
202112,REINO UNIDO,35,355030,106,3,7,"1885,80",5,6,Sem Informação
202112,CHINA,35,355030,101,1,4,"2000,00",2,6,Sem Informação
202112,NATURALIDADE BRASILEIRA,35,355030,106,3,4,"1336,50",2,6,Sem Informação
202112,NATURALIDADE BRASILEIRA,41,410690,101,1,4,"1700,00",4,6,Permanente
202112,JAPÃO,41,410830,101,1,4,"1523,38",2,6,Sem Informação
202112,PARAGUAI,41,410830,101,1,4,"1911,80",4,6,Permanente
202112,VENEZUELA,41,410840,101,1,4,"2162,70",4,5,Temporário
202112,VENEZUELA,41,412550,101,3,4,"1415,02",5,6,Refugiado/Solicitante de Refúgio
202112,VENEZUELA,42,420200,101,1,6,"1553,00",4,6,Refugiado/Solicitante de Refúgio
